Unnamed: 0,title,genres,overview,release_date,runtime,tagline,poster_path
448,The Godfather,Drama-Crime,Spanning the years 1945 to 1955 a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch Vito Corleone barely survives an attempt on his life his youngest son Michael steps in to take care of the would-be killers launching a campaign of bloody revenge.,1972-03-14,175.0,An offer you can't refuse.,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
509,The Shawshank Redemption,Drama-Crime,Framed in the 1940s for the double murder of his wife and her lover upstanding banker Andy Dufresne begins a new life at the Shawshank prison where he puts his accounting skills to work for an amoral warden. During his long stretch in prison Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.,1994-09-23,142.0,Fear can hold you prisoner. Hope can set you free.,/hBcY0fE9pfXzvVaY4GKarweriG2.jpg
1047,Schindler's List,Drama-History-War,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1993-12-15,195.0,"Whoever saves one life, saves the world entire.",/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
960,The Godfather Part II,Drama-Crime,In the continuing saga of the Corleone crime family a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s Michael Corleone attempts to expand the family business into Las Vegas Hollywood and Cuba.,1974-12-20,202.0,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg
465,The Dark Knight,Drama-Action-Crime-Thriller,Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.,2008-07-14,152.0,Welcome to a world without rules.,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
706,The Green Mile,Fantasy-Drama-Crime,A supernatural tale set on death row in a Southern prison where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard Paul Edgecomb recognizes Coffey's miraculous gift he tries desperately to help stave off the condemned man's execution.,1999-12-10,189.0,Miracles do happen.,/velWPhVMQeQKcxggNEU8YmIo52R.jpg
1154,Pulp Fiction,Thriller-Crime,A burger-loving hit man his philosophical partner a drug-addled gangster's moll and a washed-up boxer converge in this sprawling comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.,1994-09-10,154.0,Just because you are a character doesn't mean you have character.,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg
1025,Parasite,Comedy-Thriller-Drama,All unemployed Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.,2019-05-30,133.0,Act like you own the place.,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
935,Forrest Gump,Comedy-Drama-Romance,A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case far exceeding what anyone imagined he could do. But despite all he has achieved his one true love eludes him.,1994-06-23,142.0,The world will never be the same once you've seen it through the eyes of Forrest Gump.,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
670,The Lord of the Rings: The Return of the King,Adventure-Fantasy-Action,Aragorn is revealed as the heir to the ancient kings as he Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile Frodo and Sam take the ring closer to the heart of Mordor the dark lord's realm.,2003-12-01,201.0,The eye of the enemy is moving.,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
1726,GoodFellas,Drama-Crime,The true story of Henry Hill a half-Irish half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.,1990-09-12,145.0,Three Decades of Life in the Mafia.,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg
1037,Life Is Beautiful,Comedy-Drama,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,1997-12-20,116.0,"An unforgettable fable that proves love, family and imagination conquer all.",/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg
683,Fight Club,Drama-Thriller-Comedy,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on with underground ""fight clubs"" forming in every town until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",1999-10-15,139.0,Mischief. Mayhem. Soap.,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
434,Spider-Man: Into the Spider-Verse,Action-Adventure-Animation-Science Fiction,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider others from across the Spider-Verse are transported to this dimension.",2018-12-14,117.0,More than one wears the mask.,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg
2474,The Empire Strikes Back,Adventure-Action-Science Fiction,The epic saga continues as Luke Skywalker in hopes of defeating the evil Galactic Empire learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile rebel leader Princess Leia cocky Han Solo Chewbacca and droids C-3PO and R2-D2 are thrown into various stages of capture betrayal and despair.,1980-05-20,124.0,The Adventure Continues...,/2l05cFWJacyIsTpsqSgH0wQXe4V.jpg
478,The Lord of the Rings: The Fellowship of the Ring,Adventure-Fantasy-Action,Young hobbit Frodo Baggins after inheriting a mysterious ring from his uncle Bilbo must leave his home in order to keep it from falling into the hands of its evil creator. Along the way a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom the only place where it can be destroyed.,2001-12-18,179.0,One ring to rule them all,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
283,Interstellar,Adventure-Drama-Science Fiction,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014-11-05,169.0,Mankind was born on Earth. It was never meant to die here.,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
1195,The Lord of the Rings: The Two Towers,Adventure-Fantasy-Action,Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli Legolas and Aragorn search for the orc-captured Merry and Pippin. All along nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.,2002-12-18,179.0,A New Power Is Rising.,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg
963,Whiplash,Drama-Music,Under the direction of a ruthless instructor a talented young drummer begins to pursue perfection at any cost even his humanity.,2014-10-10,107.0,The road to greatness can take you to the edge.,/7fn624j5lj3xTme2SgiLCeuedmO.jpg
1437,Se7en,Crime-Mystery-Thriller,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind while his novice partner Mills scoffs at his efforts to unravel the case.",1995-09-22,127.0,Seven deadly sins. Seven ways to die.,/69Sns8WoET6CfaYlIkHbla4l7nC.jpg
699,Inception,Action-Science Fiction-Adventure,"Cobb a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"" the implantation of another person's idea into a target's subconscious.",2010-07-15,148.0,Your mind is the scene of the crime.,/edv5CZvWj09upOsy2Y6IwDhK8bt.jpg
2959,American History X,Drama,Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother Danny Vineyard's narration we learn that before going to prison Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.,1998-07-01,119.0,Some Legacies Must End.,/c2gsmSQ2Cqv8zosqKOCwRS0GFBS.jpg
13539,The Silence of the Lambs,Crime-Drama-Thriller,Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter a brilliant psychiatrist who is also a violent psychopath serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling as an attractive young woman may be just the bait to draw him out.,1991-02-14,119.0,To enter the mind of a killer she must challenge the mind of a madman.,/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg
1806,Léon: The Professional,Crime-Drama-Action,"Léon the top hit man in New York has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent he becomes the unwilling custodian of 12-year-old Mathilda. Before long Mathilda's thoughts turn to revenge and she considers following in Léon's footsteps.",1994-09-14,111.0,"If you want a job done well, hire a professional.",/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg
843,Back to the Future,Adventure-Comedy-Science Fiction,Eighties teenager Marty McFly is accidentally sent back in time to 1955 inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.,1985-07-03,116.0,He's the only kid ever to get into trouble before he was born.,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg
313,The Lion King,Family-Animation-Drama,A young lion prince is cast out of his pride by his cruel uncle who claims he killed his father. While the uncle rules with an iron paw the prince grows up beyond the Savannah living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?,1994-06-23,89.0,Life's greatest adventure is finding your place in the Circle of Life.,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg
957,The Intouchables,Drama-Comedy,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,2011-11-02,113.0,Sometimes you have to reach into someone else's world to find out what's missing in your own.,/323BP0itpxTsO0skTwdnVmf7YC9.jpg
187,Avengers: Endgame,Adventure-Science Fiction-Action,After the devastating events of Avengers: Infinity War the universe is in ruins due to the efforts of the Mad Titan Thanos. With the help of remaining allies the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all no matter what consequences may be in store.,2019-04-24,181.0,Avenge the fallen.,/or06FN3Dka5tukK1e9sl16pB3iy.jpg
102,Avengers: Infinity War,Adventure-Action-Science Fiction,As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy his goal is to collect all six Infinity Stones artifacts of unimaginable power and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.,2018-04-25,149.0,An entire universe. Once and for all.,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
1830,The Shining,Horror-Thriller,Jack Torrance accepts a caretaker job at the Overlook Hotel where he along with his wife Wendy and their son Danny must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.,1980-05-23,144.0,"He came as the caretaker, but this hotel had its own guardians - who'd been there a long time",/nRj5511mZdTl4saWEPoj9QroTIu.jpg
1921,A Clockwork Orange,Science Fiction-Drama,In a near-future Britain young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others Alex swoons to the music of Beethoven. The state eager to crack down on juvenile crime gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity can Alex change his tune?,1971-12-19,137.0,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",/4sHeTAp65WrSSuc05nRBKddhBxO.jpg
1168,Gladiator,Action-Drama-Adventure,In the year 180 the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne Maximus is set to be executed.  He escapes but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator Maximus must battle to the death with other men for the amusement of paying audiences.,2000-05-04,155.0,A Hero Will Rise.,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg
619,Saving Private Ryan,Drama-History-War,As U.S. troops storm the beaches of Normandy three brothers lie dead on the battlefield with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.,1998-07-24,169.0,The mission is a man.,/1wY4psJ5NVEhCuOYROwLH2XExM2.jpg
1734,The Prestige,Drama-Mystery-Science Fiction,A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession deceit and jealousy with dangerous and deadly consequences.,2006-10-19,130.0,Are You Watching Closely?,/bdN3gXuIZYaJP7ftKK2sU0nPtEA.jpg
883,The Matrix,Action-Science Fiction,Set in the 22nd century The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.,1999-03-30,136.0,Welcome to the Real World.,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg
534,Star Wars,Adventure-Action-Science Fiction,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,1977-05-25,121.0,"A long time ago in a galaxy far, far away...",/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg
1000,Inglourious Basterds,Drama-Thriller-War,"In Nazi-occupied France during World War II a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",2009-08-19,153.0,Once upon a time in Nazi occupied France...,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg
1065,Call Me by Your Name,Romance-Drama,In 1980s Italy a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.,2017-09-01,132.0,Is it better to speak or die?,/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg
293,Coco,Family-Animation-Fantasy-Music-Comedy-Adventure,Despite his family’s baffling generations-old ban on music Miguel dreams of becoming an accomplished musician like his idol Ernesto de la Cruz. Desperate to prove his talent Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way he meets charming trickster Hector and together they set off on an extraordinary journey to unlock the real story behind Miguel's family history.,2017-10-27,105.0,The celebration of a lifetime,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg
1375,Taxi Driver,Crime-Drama,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976-02-09,114.0,"On every street in every city, there's a nobody who dreams of being a somebody.",/ekstpH614fwDX8DUln1a2Opz0N8.jpg
1419,Shutter Island,Drama-Thriller-Mystery,World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane but his efforts are compromised by troubling visions and a mysterious doctor.,2010-02-14,138.0,Some places never let you go.,/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg
1914,Memento,Mystery-Thriller,Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer however is compounded by the fact that he suffers from a rare untreatable form of short-term memory loss. Although he can recall details of life before his accident Leonard cannot remember what happened fifteen minutes ago where he's going or why.,2000-10-11,113.0,Some memories are best forgotten.,/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg
123,Hacksaw Ridge,Drama-History-War,WWII American Army Medic Desmond T. Doss who served during the Battle of Okinawa refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.,2016-10-07,139.0,One of the greatest heroes in American history never fired a bullet.,/jhWbYeUNOA5zAb6ufK6pXQFXqTX.jpg
580,Joker,Crime-Thriller-Drama,During the 1980s a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.,2019-10-01,122.0,Put on a happy face.,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg
855,Scarface,Action-Crime-Drama,After getting a green card in exchange for assassinating a Cuban government official Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way Tony eventually becomes the biggest drug lord in the state controlling nearly all the cocaine that comes through Miami. But increased pressure from the police wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.,1983-12-09,170.0,The world is yours...,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg
2314,The Departed,Drama-Thriller-Crime,To take down South Boston's Irish Mafia the police send in one of their own to infiltrate the underworld not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.,2006-10-04,151.0,Lies. Betrayal. Sacrifice. How far will you take it?,/nT97ifVT2J1yMQmeq20Qblg61T.jpg
871,Django Unchained,Drama-Western,With the help of a German bounty hunter a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.,2012-12-25,165.0,"Life, liberty and the pursuit of vengeance.",/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg
1015,Good Will Hunting,Drama,Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem his talents are discovered by Professor Gerald Lambeau who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.,1997-12-05,127.0,"For the first 20 years of his life, Will Hunting has called the shots. Now he's about to meet his match.",/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg
2687,Reservoir Dogs,Crime-Thriller,A botched robbery indicates a police informant and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White newcomer Mr. Orange psychopathic parolee Mr. Blonde bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.,1992-09-02,99.0,Every dog has his day.,/n8O9WOAL1DVOMEQJpYatNqpNauK.jpg
